topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,keywords,summary,wikipedia_url
10004,Soil Carbon and Nitrogen Dynamics,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Carbon Sequestration; Nitrogen Cycle; Microbial Communities; Climate Change; Biochar Application; Ecosystem Functioning; Soil Fertility; Organic Matter Dynamics; Nutrient Limitation; Global Biogeochemical Cycles,"This cluster of papers explores the dynamics of soil carbon, nitrogen cycling, and microbial communities in various ecosystems. It investigates topics such as soil carbon sequestration, biochar application, nutrient limitation, and the impact of climate change on soil fertility and ecosystem functioning. The research also delves into the interactions between soil microbial communities and plant diversity, with a focus on understanding global biogeochemical cycles.",https://en.wikipedia.org/wiki/Soil_carbon_dynamics
10889,Soil erosion and sediment transport,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Erosion; Agricultural Sustainability; Land Use Change; Sediment Transport Models; Ecohydrological Processes; Soil Degradation; Runoff and Erosion; Global Carbon Budget; Suspended Sediments; Gully Erosion,"This cluster of papers focuses on the impact of soil erosion on agricultural sustainability, land use change, sediment transport models, ecohydrological processes, soil degradation, runoff and erosion, the global carbon budget, suspended sediments, and gully erosion. It addresses the challenges and implications of soil erosion for environmental change and human security in various regions around the world.",https://en.wikipedia.org/wiki/Soil_erosion
11275,Composting and Vermicomposting Techniques,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Composting; Maturity Assessment; Organic Waste; Microbial Activity; Biochar; Vermicomposting; Aerobic Composting; Humic Acids; Greenhouse Gases Emissions; Sustainability,"This cluster of papers focuses on the composting of organic wastes, including animal manures and municipal solid waste, and the assessment of compost maturity. It covers topics such as microbial activity, the influence of additives like biochar, vermicomposting, greenhouse gases emissions, and sustainability of composting technologies.",https://en.wikipedia.org/wiki/Compost
11404,Irrigation Practices and Water Management,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Deficit Irrigation; Water Use Efficiency; Mulching; Irrigation Management; Crop Productivity; Soil Moisture; Drip Irrigation; Water Scarcity; Arid Areas; Horticultural Crops,"This cluster of papers focuses on the use of deficit irrigation and innovative water management techniques to improve water use efficiency and crop productivity in arid and semiarid regions. Topics include the effects of mulching, drip irrigation, soil moisture management, and the physiological responses of various crops to deficit irrigation strategies.",https://en.wikipedia.org/wiki/Deficit_irrigation
11789,Land Rights and Reforms,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Land Tenure; Property Rights; Agricultural Investment; Gender Inequality; Rural Development; Customary Tenure; Land Fragmentation; Tenure Security; Legal Pluralism; Land Reform,"This cluster of papers explores the complex dynamics of land tenure, property rights, and their impact on agricultural investment, gender inequality, and rural development. It delves into issues such as customary tenure, land fragmentation, tenure security, legal pluralism, and the implications of land reform in various regions.",https://en.wikipedia.org/wiki/Land_tenure
11886,Agricultural risk and resilience,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Risk Management; Vulnerability; Agriculture; Insurance; Poverty; Weather Shocks; Social Networks; Household Resilience; Food Security; Rural Economies,"This cluster of papers explores various aspects of risk management, vulnerability, and resilience in agricultural contexts, particularly focusing on the impact of weather shocks, social networks, and insurance on poverty, food security, and household welfare in rural economies.",https://en.wikipedia.org/wiki/Agricultural_insurance
12294,Agricultural Science and Fertilization,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Fertility; Crop Productivity; Organic Manure; Integrated Nutrient Management; Biofertilizers; Sustainable Agriculture; Plant Growth; Nutrient Uptake; Agricultural Practices; Environmental Sustainability,"This cluster of papers focuses on the management of soil fertility and crop productivity through various agricultural practices such as integrated nutrient management, organic manure application, biofertilizers usage, and sustainable agriculture. The research covers topics related to enhancing plant growth, improving nutrient uptake, and promoting environmental sustainability in agricultural systems.",https://en.wikipedia.org/wiki/Soil_fertility
12754,Plant Growth and Agriculture Techniques,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Fertility; Plant Nutrition; Organic Farming; Crop Production; Horticulture; Hydroponics; Composting; Fertilizers; Soil Analysis; Sustainable Agriculture,"This cluster of papers covers a wide range of topics related to soil science, plant nutrition, and sustainable agriculture. It includes research on soil fertility, organic farming, hydroponics, composting, and the analysis of fertilizers and soil properties. The papers also delve into crop production, horticulture, and the impact of environmental factors on plant growth.",https://en.wikipedia.org/wiki/Soil_science
12792,Soil Management and Crop Yield,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Compaction; No-till Crop Production; Soil Physical Properties; Integrated Crop-Livestock Systems; Subtropical Soils; Soil Degradation; Soil Management; Gypsum and Lime Application; Root Growth; Soil Quality,"This cluster of papers explores the effects of soil compaction on crop production, particularly in the context of no-till and integrated crop-livestock systems in subtropical regions. It investigates soil physical properties, soil degradation, gypsum and lime application, and their impact on root growth and overall soil quality.",https://en.wikipedia.org/wiki/Soil_compaction
13102,Soil and Environmental Studies,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Evolution; Paleosols; Environmental Reconstruction; Microbial Communities; Climate Dynamics; Agricultural Impact; Geoarchaeology; Desertification; Holocene Climate; Ecosystem Responses,"This cluster of papers focuses on the evolution of soils in anthropogenic landscapes, including the study of paleosols, microbial communities, and environmental reconstruction. It explores the impact of agriculture, climate dynamics, and desertification on soil evolution and Holocene climate changes.",https://en.wikipedia.org/wiki/Soil_evolution
13740,Soil Science and Environmental Management,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Quality; Water Productivity; Conservation Agriculture; Quality Management; Desertification; Crop Residue; Ishikawa Diagram; Professional Standards; Statistical Methods; Spatial Trends,"This cluster of papers focuses on various aspects of soil quality assessment, management, and related environmental and agricultural practices. It covers topics such as water productivity, conservation agriculture, crop residue management, quality management, desertification, and the use of Ishikawa diagrams in soil and agricultural contexts.",https://en.wikipedia.org/wiki/Soil_quality
10616,Smart Agriculture and AI,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences,Deep Learning; Plant Disease Detection; Smart Farming; Internet of Things (IoT); Machine Learning; Crop Yield Prediction; Wireless Sensor Networks; Image Processing; Agricultural Robotics; Environmental Monitoring,"This cluster of papers focuses on the advancements in precision agriculture technologies, including the use of deep learning, machine learning, and image processing for plant disease detection, crop yield prediction, and environmental monitoring. It also explores the integration of Internet of Things (IoT) and wireless sensor networks in smart farming, as well as the application of agricultural robotics for automated tasks. The research emphasizes the potential of these technologies to revolutionize farming practices and contribute to sustainable agriculture.",https://en.wikipedia.org/wiki/Precision_agriculture
